time	'long'	'short'
 6.544000E+01	3287	314
 6.560000E+01	3263	313
 6.576000E+01	3233	299
 6.592000E+01	3296	296
 6.608000E+01	3284	284
 6.624000E+01	3269	296
 6.640000E+01	3273	292
 6.656000E+01	3269	290
 6.672000E+01	3299	285
 6.688000E+01	3300	282
 6.704000E+01	3304	286
 6.720000E+01	3302	279
 6.736000E+01	3311	285
 6.752000E+01	3357	290
 6.768000E+01	3366	276
 6.784000E+01	3310	276
 6.800000E+01	3322	272
 6.816000E+01	3359	269
 6.832000E+01	3366	249
 6.848000E+01	3380	256
 6.864000E+01	3372	258
 6.880000E+01	3371	257
 6.896000E+01	3410	261
 6.912000E+01	3372	257
 6.928000E+01	3366	242
 6.944000E+01	3351	248
 6.960000E+01	3369	247
 6.976000E+01	3366	248
 6.992000E+01	3384	241
 7.008000E+01	3409	249
 7.024000E+01	3414	254
 7.040000E+01	3343	276
 7.056000E+01	3418	249
 7.072000E+01	3394	258
 7.088000E+01	3424	262
 7.104000E+01	3482	280
 7.120000E+01	3482	260
 7.136000E+01	3482	261
 7.152000E+01	3475	262
 7.168000E+01	3493	269
 7.184000E+01	3478	260
 7.200000E+01	3462	260
 7.216000E+01	3455	258
 7.232000E+01	3503	258
 7.248000E+01	3506	272
 7.264000E+01	3428	265
 7.280000E+01	3484	263
 7.296000E+01	3539	255
 7.312000E+01	3508	263
 7.328000E+01	3573	277
 7.344000E+01	3557	259
 7.360000E+01	3583	262
 7.376000E+01	3582	261
 7.392000E+01	3598	251
 7.408000E+01	3540	281
 7.424000E+01	3578	259
 7.440000E+01	3494	270
 7.456000E+01	3522	276
 7.472000E+01	3533	278
 7.488000E+01	3549	269
 7.504000E+01	3598	268
 7.520000E+01	3561	259
 7.536000E+01	3634	249
 7.552000E+01	3618	251
 7.568000E+01	3579	244
 7.584000E+01	3618	247
 7.600000E+01	3635	261
 7.616000E+01	3619	249
 7.632000E+01	3624	254
 7.648000E+01	3638	241
 7.664000E+01	3664	242
 7.680000E+01	3622	251
 7.696000E+01	3676	254
 7.712000E+01	3664	265
 7.728000E+01	3651	278
 7.744000E+01	3623	259
 7.760000E+01	3619	257
 7.776000E+01	3644	268
 7.792000E+01	3644	261
 7.808000E+01	3676	269
 7.824000E+01	3652	265
 7.840000E+01	3627	260
 7.856000E+01	3663	265
 7.872000E+01	3714	249
 7.888000E+01	3721	240
 7.904000E+01	3719	247
 7.920000E+01	3749	254
 7.936000E+01	3741	257
 7.952000E+01	3679	270
 7.968000E+01	3743	263
 7.984000E+01	3784	245
 8.000000E+01	3763	246
